,Title,Year,Genre,Awards,Metascore,BoxOffice
0,The Widow of Saint-Pierre,2000,"Drama, History, Romance",Nominated for 1 Golden Globe. Another 3 wins & 8 nominations.,73,N/A
110,Nurse Betty,2000,"Comedy, Crime, Drama, Romance",Won 1 Golden Globe. Another 4 wins & 14 nominations.,69,N/A
111,Fiza,2000,"Action, Crime, Drama",4 wins & 18 nominations.,N/A,N/A
112,Duets,2000,"Comedy, Drama, Music, Romance",1 nomination.,40,"$4,262,782"
113,Brother,2000,"Crime, Drama, Thriller",1 win & 1 nomination.,47,N/A
114,Sexy Beast,2000,"Crime, Drama, Thriller",Nominated for 1 Oscar. Another 21 wins & 20 nominations.,79,"$5,972,627"
115,Men of Honor,2000,"Biography, Drama",11 nominations.,56,N/A
116,Rugrats in Paris: The Movie,2000,"Animation, Adventure, Comedy, Family, Romance",3 wins & 7 nominations.,62,N/A
109,The Way of the Gun,2000,"Action, Crime, Drama, Thriller",N/A,49,"$5,225,573"
117,Almost Famous,2000,"Adventure, Comedy, Drama, Music",Won 1 Oscar. Another 52 wins & 103 nominations.,90,"$31,716,715"
119,Urban Legends: Final Cut,2000,"Horror, Mystery, Thriller",1 win & 1 nomination.,16,"$21,007,274"
120,The Specials,2000,"Action, Comedy, Fantasy, Sci-Fi",N/A,38,N/A
121,Woman on Top,2000,"Comedy, Fantasy, Romance",3 nominations.,41,"$4,513,772"
122,The House of Mirth,2000,"Romance, Drama",Nominated for 1 BAFTA Film Award. Another 6 wins & 28 nominations.,78,N/A
123,Remember the Titans,2000,"Biography, Drama, Sport",8 wins & 17 nominations.,48,"$114,297,071"
124,George Washington,2000,Drama,9 wins & 15 nominations.,82,N/A
125,"Crouching Tiger, Hidden Dragon",2000,"Action, Adventure, Fantasy, Romance",Won 4 Oscars. Another 96 wins & 130 nominations.,93,N/A
118,Best in Show,2000,Comedy,Nominated for 1 Golden Globe. Another 11 wins & 13 nominations.,78,"$16,574,225"
108,The Watcher,2000,"Crime, Horror, Mystery, Thriller",1 nomination.,22,"$28,572,915"
926,Dungeons & Dragons,2000,"Action, Adventure, Fantasy",11 nominations.,14,"$14,813,627"
106,Pollock,2000,"Biography, Drama",Won 1 Oscar. Another 2 wins & 9 nominations.,77,"$7,280,174"
89,Space Cowboys,2000,"Action, Adventure, Thriller",Nominated for 1 Oscar. Another 4 wins & 7 nominations.,73,N/A
90,Hollow Man,2000,"Action, Horror, Sci-Fi, Thriller",Nominated for 1 Oscar. Another 7 wins & 11 nominations.,24,"$72,055,301"
91,Psycho Beach Party,2000,"Comedy, Horror, Mystery",3 wins & 1 nomination.,42,N/A
92,The Replacements,2000,"Comedy, Sport",N/A,30,"$44,004,460"
93,Bless the Child,2000,"Crime, Drama, Horror",1 win & 6 nominations.,17,"$28,134,407"
94,Autumn in New York,2000,"Drama, Romance",3 nominations.,24,N/A
95,The Cell,2000,"Horror, Sci-Fi, Thriller",Nominated for 1 Oscar. Another 6 wins & 23 nominations.,40,N/A
96,The Original Kings of Comedy,2000,"Comedy, Documentary",3 nominations.,76,"$37,680,981"
97,The Crew,2000,"Crime, Comedy",1 win.,37,"$12,485,210"
98,The Art of War,2000,"Action, Adventure, Crime, Thriller",2 wins & 9 nominations.,30,"$29,458,928"
99,Bring It On,2000,"Comedy, Romance, Sport",2 wins & 7 nominations.,52,"$67,905,760"
100,"O Brother, Where Art Thou?",2000,"Adventure, Comedy, Crime, Music",Nominated for 2 Oscars. Another 7 wins & 35 nominations.,69,"$45,150,731"
101,Nine Queens,2000,"Crime, Drama, Thriller",22 wins & 8 nominations.,80,"$1,078,919"
102,Whipped,2000,"Comedy, Romance",1 nomination.,10,"$3,780,907"
103,Snatch,2000,"Comedy, Crime",4 wins & 6 nominations.,55,"$30,093,107"
104,Dinner Rush,2000,"Crime, Drama, Romance",2 wins.,79,N/A
105,Highlander: Endgame,2000,"Action, Adventure, Fantasy, Sci-Fi",N/A,21,N/A
126,Bamboozled,2000,"Comedy, Drama, Music",1 win & 10 nominations.,50,"$1,883,628"
127,Get Carter,2000,"Action, Crime, Drama, Thriller",5 nominations.,24,"$14,551,088"
128,Meet the Parents,2000,"Comedy, Romance",Nominated for 1 Oscar. Another 7 wins & 14 nominations.,73,"$164,454,835"
129,102 Dalmatians,2000,"Adventure, Comedy, Family",Nominated for 1 Oscar. Another 1 win & 6 nominations.,35,"$65,406,212"
152,The Emperor's New Groove,2000,"Animation, Adventure, Comedy, Family, Fantasy",Nominated for 1 Oscar. Another 7 wins & 26 nominations.,70,"$87,320,505"
153,All the Pretty Horses,2000,"Drama, Romance, Western",Nominated for 1 Golden Globe. Another 2 wins & 13 nominations.,55,"$14,713,716"
154,The Family Man,2000,"Comedy, Drama, Fantasy, Romance",4 wins & 6 nominations.,42,N/A
155,Chocolat,2000,"Drama, Romance",Nominated for 5 Oscars. Another 7 wins & 30 nominations.,64,N/A
156,Miss Congeniality,2000,"Action, Comedy, Crime, Romance",Nominated for 2 Golden Globes. Another 7 wins & 5 nominations.,43,N/A
157,"Dude, Where's My Car?",2000,"Comedy, Mystery, Sci-Fi",5 nominations.,30,"$44,992,961"
158,What Women Want,2000,"Comedy, Fantasy, Romance",Nominated for 1 Golden Globe. Another 5 wins & 8 nominations.,47,"$181,483,882"
159,Finding Forrester,2000,Drama,5 wins & 13 nominations.,62,"$51,370,406"
160,Cast Away,2000,"Adventure, Drama, Romance",Nominated for 2 Oscars. Another 15 wins & 33 nominations.,73,N/A
161,Dracula 2000,2000,"Action, Fantasy, Horror, Thriller",1 nomination.,26,N/A
162,An Everlasting Piece,2000,Comedy,1 nomination.,56,"$9,128"
163,Thirteen Days,2000,"Drama, History, Thriller",3 wins & 7 nominations.,67,N/A
164,Traffic,2000,"Crime, Drama, Thriller",Won 4 Oscars. Another 69 wins & 83 nominations.,86,"$123,836,420"
165,The Claim,2000,"Drama, Romance, Western",1 win & 10 nominations.,62,N/A
192,Songcatcher,2000,"Drama, Music",5 wins & 5 nominations.,63,"$1,634,064"
315,Everything Put Together,2000,Drama,1 win & 2 nominations.,63,N/A
236,Pandaemonium,2000,"Biography, Drama",2 wins & 1 nomination.,60,N/A
151,Vertical Limit,2000,"Action, Adventure, Drama, Thriller",Nominated for 1 BAFTA Film Award. Another 2 wins & 3 nominations.,48,"$67,771,442"
88,Coyote Ugly,2000,"Comedy, Drama, Music, Romance",4 wins & 7 nominations.,27,N/A
150,Proof of Life,2000,"Action, Drama, Thriller",5 nominations.,45,"$31,193,043"
148,You Can Count on Me,2000,Drama,Nominated for 2 Oscars. Another 30 wins & 41 nominations.,85,"$8,409,329"
131,Pay It Forward,2000,Drama,1 win & 4 nominations.,40,"$32,801,029"
132,Lost Souls,2000,"Drama, Horror, Thriller",2 nominations.,16,N/A
133,The Contender,2000,"Drama, Thriller",Nominated for 2 Oscars. Another 1 win & 20 nominations.,59,"$16,120,906"
134,The Ladies Man,2000,Comedy,1 nomination.,22,"$13,384,928"
135,Bedazzled,2000,"Comedy, Fantasy",1 win & 3 nominations.,49,N/A
136,The Little Vampire,2000,"Adventure, Comedy, Family",1 win & 3 nominations.,45,"$13,432,508"
137,Book of Shadows: Blair Witch 2,2000,"Adventure, Fantasy, Horror, Mystery, Thriller",2 wins & 8 nominations.,15,N/A
138,Lucky Numbers,2000,"Comedy, Crime",2 wins & 1 nomination.,31,"$9,534,013"
139,Requiem for a Dream,2000,Drama,Nominated for 1 Oscar. Another 33 wins & 62 nominations.,68,"$2,546,851"
140,Mercy Streets,2000,"Action, Drama, Crime",N/A,28,N/A
141,Charlie's Angels,2000,"Action, Adventure, Comedy, Crime, Thriller",14 wins & 30 nominations.,52,"$124,420,707"
142,The Legend of Bagger Vance,2000,"Drama, Fantasy, Sport",2 wins & 10 nominations.,47,"$30,366,277"
143,Little Nicky,2000,"Comedy, Fantasy",1 win & 12 nominations.,38,"$38,542,597"
144,Red Planet,2000,"Action, Sci-Fi, Thriller",1 nomination.,34,N/A
145,Unbreakable,2000,"Drama, Mystery, Sci-Fi, Thriller",2 wins & 13 nominations.,62,"$95,000,000"
146,The 6th Day,2000,"Action, Mystery, Sci-Fi, Thriller",8 nominations.,49,"$33,813,823"
147,How the Grinch Stole Christmas,2000,"Comedy, Family, Fantasy",Won 1 Oscar. Another 17 wins & 37 nominations.,46,"$259,011,600"
149,Quills,2000,"Biography, Drama",Nominated for 3 Oscars. Another 18 wins & 41 nominations.,70,"$4,284,664"
87,Nutty Professor II: The Klumps,2000,"Comedy, Romance, Sci-Fi",2 wins & 12 nominations.,38,"$122,385,345"
130,Memento,2000,"Mystery, Thriller",Nominated for 2 Oscars. Another 56 wins & 55 nominations.,80,"$23,844,220"
85,What Lies Beneath,2000,"Drama, Fantasy, Horror, Mystery, Thriller",5 wins & 5 nominations.,51,"$155,018,556"
23,The Next Best Thing,2000,"Comedy, Drama, Romance",3 wins & 10 nominations.,25,N/A
24,Drowning Mona,2000,"Comedy, Crime, Mystery",1 nomination.,25,N/A
25,Mission to Mars,2000,"Adventure, Sci-Fi, Thriller",1 nomination.,34,N/A
27,The Young Unknowns,2000,Drama,1 win.,43,N/A
28,The Perfect Storm,2000,"Action, Adventure, Drama, Thriller",Nominated for 2 Oscars. Another 4 wins & 25 nominations.,59,N/A
29,Final Destination,2000,"Horror, Thriller",3 wins & 3 nominations.,36,N/A
30,High Fidelity,2000,"Comedy, Drama, Music, Romance",Nominated for 1 Golden Globe. Another 3 wins & 21 nominations.,79,N/A
22,What Planet Are You From?,2000,"Comedy, Sci-Fi",1 nomination.,41,N/A
31,Digimon: The Movie,2000,"Animation, Action, Adventure, Family, Sci-Fi",N/A,20,"$9,009,288"
33,Romeo Must Die,2000,"Action, Crime, Thriller",2 wins & 7 nominations.,52,N/A
34,Here on Earth,2000,"Drama, Romance",2 nominations.,25,N/A
35,Whatever It Takes,2000,"Comedy, Drama, Romance",3 nominations.,20,N/A
36,The Road to El Dorado,2000,"Animation, Adventure, Comedy, Family, Romance",1 win & 12 nominations.,51,N/A
37,The Skulls,2000,"Action, Crime, Drama, Thriller",1 nomination.,24,N/A
38,28 Days,2000,"Comedy, Drama",1 win.,46,N/A
39,Return to Me,2000,"Comedy, Drama, Romance",1 win & 2 nominations.,54,N/A
32,Erin Brockovich,2000,"Biography, Drama",Won 1 Oscar. Another 31 wins & 58 nominations.,73,N/A
20,Reindeer Games,2000,"Action, Adventure, Crime, Drama, Thriller",3 nominations.,37,N/A
19,Wonder Boys,2000,"Comedy, Drama",Won 1 Oscar. Another 19 wins & 46 nominations.,73,N/A
18,The Whole Nine Yards,2000,"Comedy, Crime",5 nominations.,47,"$57,262,492"
2,My Dog Skip,2000,"Comedy, Drama, Family",7 wins & 4 nominations.,61,N/A
3,Supernova,2000,"Horror, Sci-Fi, Thriller",N/A,19,N/A
1,Next Friday,2000,Comedy,1 nomination.,41,N/A
86,Thomas and the Magic Railroad,2000,"Adventure, Comedy, Drama, Family, Fantasy",2 nominations.,19,"$2,027,042"
5,Down to You,2000,"Comedy, Drama, Romance",1 win & 3 nominations.,13,N/A
6,Urbania,2000,Drama,5 wins & 4 nominations.,73,N/A
7,Isn't She Great,2000,"Biography, Comedy, Drama",2 nominations.,34,N/A
8,The Broken Hearts Club: A Romantic Comedy,2000,"Comedy, Drama, Romance",1 win & 1 nomination.,51,N/A
9,Scream 3,2000,"Horror, Mystery",5 wins & 5 nominations.,56,N/A
10,Anatomy,2000,"Horror, Thriller",1 win & 3 nominations.,33,N/A
11,Gun Shy,2000,"Comedy, Crime, Romance",N/A,42,N/A
12,The Tigger Movie,2000,"Animation, Comedy, Drama, Family, Musical",4 nominations.,53,N/A
13,The Beach,2000,"Adventure, Drama, Romance, Thriller",7 nominations.,43,N/A
14,Snow Day,2000,"Adventure, Comedy, Family",4 nominations.,34,N/A
15,Hanging Up,2000,"Comedy, Drama",2 wins & 1 nomination.,33,N/A
16,Pitch Black,2000,"Horror, Sci-Fi",2 wins & 4 nominations.,49,N/A
17,Boiler Room,2000,"Crime, Drama, Thriller",1 win & 9 nominations.,63,N/A
40,Ready to Rumble,2000,"Comedy, Sport",1 nomination.,23,N/A
41,American Psycho,2000,"Crime, Drama",5 wins & 8 nominations.,64,N/A
21,3 Strikes,2000,Comedy,N/A,11,N/A
43,U-571,2000,"Action, War",Won 1 Oscar. Another 3 wins & 10 nominations.,62,N/A
65,Mission: Impossible II,2000,"Action, Adventure, Thriller",11 wins & 19 nominations.,59,N/A
66,Shanghai Noon,2000,"Action, Adventure, Comedy, Western",1 win & 7 nominations.,77,N/A
67,Hum To Mohabbat Karega,2000,"Action, Comedy, Romance",N/A,N/A,N/A
68,Big Momma's House,2000,"Action, Comedy, Crime",1 win & 9 nominations.,33,"$492,734"
69,Groove,2000,"Drama, Music",2 nominations.,54,N/A
70,Gone in Sixty Seconds,2000,"Action, Crime, Thriller",9 wins & 6 nominations.,35,"$100,978,700"
72,Titan A.E.,2000,"Animation, Action, Adventure, Family, Sci-Fi",1 win & 6 nominations.,48,N/A
73,Boys and Girls,2000,"Comedy, Drama, Romance",N/A,29,N/A
64,Small Time Crooks,2000,"Comedy, Crime",Nominated for 1 Golden Globe. Another 1 win & 3 nominations.,69,N/A
74,Amores Perros,2000,"Drama, Thriller",Nominated for 1 Oscar. Another 54 wins & 22 nominations.,83,"$4,856,342"
76,"Me, Myself & Irene",2000,Comedy,2 wins & 4 nominations.,49,"$560,525"
77,The Patriot,2000,"Action, Drama, History, War",Nominated for 3 Oscars. Another 8 wins & 18 nominations.,63,"$2,317,507"
78,The Adventures of Rocky & Bullwinkle,2000,"Animation, Adventure, Comedy, Family, Fantasy",2 wins & 6 nominations.,36,"$411,840"
42,Keeping the Faith,2000,"Comedy, Drama, Romance",2 wins & 5 nominations.,60,N/A
79,Aberdeen,2000,Drama,9 wins & 7 nominations.,78,N/A
84,Loser,2000,"Comedy, Romance",1 nomination.,35,N/A
83,The In Crowd,2000,"Drama, Mystery, Thriller",N/A,14,N/A
82,X-Men,2000,"Action, Adventure, Sci-Fi",13 wins & 26 nominations.,64,"$156,164,829"
75,Chicken Run,2000,"Animation, Adventure, Comedy, Drama, Family",Nominated for 1 Golden Globe. Another 23 wins & 25 nominations.,88,"$106,604,314"
63,Dinosaur,2000,"Animation, Adventure, Family, Thriller",4 wins & 21 nominations.,56,"$135,606,304"
71,Shaft,2000,"Action, Crime, Thriller",1 win & 13 nominations.,50,"$70,334,258"
62,Road Trip,2000,"Adventure, Comedy",4 wins & 9 nominations.,55,N/A
44,Gossip,2000,"Drama, Mystery, Thriller",3 nominations.,31,N/A
519,Tadpole,2000,"Comedy, Drama, Romance",3 wins & 4 nominations.,71,"$2,882,062"
46,Where the Heart Is,2000,"Comedy, Drama, Romance",1 win & 2 nominations.,30,N/A
48,The Flintstones in Viva Rock Vegas,2000,"Comedy, Family, Romance, Sci-Fi",1 win & 9 nominations.,27,N/A
49,Frequency,2000,"Crime, Drama, Mystery, Sci-Fi, Thriller",Nominated for 1 Golden Globe. Another 2 wins & 7 nominations.,67,N/A
50,Gladiator,2000,"Action, Adventure, Drama",Won 5 Oscars. Another 53 wins & 101 nominations.,67,N/A
51,Michael Jordan to the Max,2000,"Documentary, Sport",1 nomination.,57,N/A
53,I Dreamed of Africa,2000,"Adventure, Drama, Romance",3 nominations.,33,N/A
47,The Yards,2000,"Crime, Drama, Romance, Thriller",3 wins & 2 nominations.,58,N/A
55,Center Stage,2000,"Drama, Music, Romance",1 win.,52,N/A
61,Billy Elliot,2000,"Drama, Music, Romance",Nominated for 3 Oscars. Another 54 wins & 65 nominations.,74,N/A
54,Battlefield Earth,2000,"Action, Adventure, Sci-Fi",19 wins & 3 nominations.,9,N/A
59,Cecil B. DeMented,2000,"Comedy, Crime, Thriller",2 nominations.,57,N/A
60,Dancer in the Dark,2000,"Crime, Drama, Musical",Nominated for 1 Oscar. Another 33 wins & 46 nominations.,61,"$2,839,256"
57,Lisa Picard Is Famous,2000,"Comedy, Drama",1 nomination.,57,N/A
56,Screwed,2000,"Comedy, Crime",N/A,7,N/A
58,Shadow of the Vampire,2000,"Drama, Horror",Nominated for 2 Oscars. Another 14 wins & 24 nominations.,71,"$7,518,962"
299,Max Keeble's Big Move,2001,"Comedy, Crime, Family",1 win & 1 nomination.,40,"$16,504,546"
285,Megiddo: The Omega Code 2,2001,"Action, Adventure, Fantasy",1 nomination.,35,"$5,637,512"
301,Bandits,2001,"Comedy, Crime, Drama, Romance",Nominated for 2 Golden Globes. Another 4 wins & 5 nominations.,60,"$41,176,738"
286,Hearts in Atlantis,2001,"Drama, Mystery",2 wins & 8 nominations.,55,"$23,604,382"
284,Knockaround Guys,2001,"Crime, Drama, Thriller",2 nominations.,30,"$11,509,127"
287,Buffalo Soldiers,2001,"Comedy, Crime, Drama, Thriller, War",1 win & 6 nominations.,56,N/A
288,Last Orders,2001,Drama,2 wins & 5 nominations.,78,"$2,197,234"
289,The Lost Skeleton of Cadavra,2001,"Comedy, Horror, Sci-Fi",2 nominations.,45,N/A
290,Hardball,2001,"Drama, Sport",2 nominations.,48,"$39,697,363"
292,Ayurveda: Art of Being,2001,Documentary,2 wins.,45,N/A
293,Glitter,2001,"Drama, Music, Romance",3 wins & 10 nominations.,14,"$3,865,759"
294,Zoolander,2001,Comedy,1 win & 11 nominations.,61,"$44,724,316"
295,Don't Say a Word,2001,"Drama, Mystery, Thriller",1 nomination.,38,"$54,218,420"
296,The Royal Tenenbaums,2001,"Comedy, Drama",Nominated for 1 Oscar. Another 10 wins & 45 nominations.,76,"$52,307,676"
300,Serendipity,2001,"Comedy, Romance",3 nominations.,52,"$49,968,653"
297,Training Day,2001,"Crime, Drama, Thriller",Won 1 Oscar. Another 15 wins & 23 nominations.,69,N/A
298,Joy Ride,2001,"Mystery, Thriller",3 nominations.,75,"$21,254,983"
291,The Glass House,2001,"Crime, Drama, Mystery, Thriller",3 nominations.,34,"$17,387,693"
283,Two Can Play That Game,2001,"Comedy, Romance",7 nominations.,35,"$22,012,529"
265,Session 9,2001,"Horror, Mystery",2 wins & 1 nomination.,58,N/A
281,Birthday Girl,2001,"Comedy, Crime, Thriller",1 win.,51,"$4,919,896"
261,The Princess Diaries,2001,"Comedy, Family, Romance",3 wins & 11 nominations.,52,"$107,785,435"
302,Corky Romano,2001,"Comedy, Crime",1 nomination.,20,N/A
262,The Curse of the Jade Scorpion,2001,"Comedy, Crime, Mystery, Romance",1 win & 1 nomination.,52,"$6,793,998"
263,Osmosis Jones,2001,"Animation, Action, Adventure, Comedy, Crime, Family, Fantasy",1 win & 7 nominations.,57,"$12,344,938"
264,American Pie 2,2001,Comedy,8 wins & 6 nominations.,43,"$144,044,409"
266,Captain Corelli's Mandolin,2001,"Drama, Music, Romance, War",2 wins & 5 nominations.,36,"$25,261,240"
267,American Outlaws,2001,"Action, Western",7 nominations.,25,"$11,888,985"
268,The Legend of Suriyothai,2001,"Action, Adventure, Drama",N/A,58,"$277,562"
269,Summer Catch,2001,"Comedy, Drama, Romance, Sport",1 nomination.,21,"$19,037,255"
270,Jay and Silent Bob Strike Back,2001,Comedy,1 win & 3 nominations.,51,"$29,885,424"
271,Ghosts of Mars,2001,"Action, Horror, Sci-Fi",2 nominations.,35,"$7,307,616"
272,Lucky Break,2001,"Comedy, Crime, Romance",4 nominations.,48,N/A
273,Bubble Boy,2001,"Adventure, Comedy, Romance, Sci-Fi",1 nomination.,41,N/A
274,Monsoon Wedding,2001,"Comedy, Drama, Romance",Nominated for 1 Golden Globe. Another 7 wins & 11 nominations.,77,"$14,000,000"
275,O,2001,"Drama, Romance, Thriller",1 win & 1 nomination.,53,"$15,540,020"
3316,Evolution,2001,"Comedy, Sci-Fi",2 nominations.,40,"$37,571,347"
278,Thirteen Conversations About One Thing,2001,Drama,8 wins & 7 nominations.,74,"$3,004,491"
279,Rock Star,2001,"Drama, Music",1 nomination.,54,N/A
280,Soul Survivors,2001,"Drama, Horror, Mystery",N/A,20,"$2,014,304"
282,The Musketeer,2001,"Action, Adventure, Romance",1 nomination.,27,"$26,560,170"
303,All the Queen's Men,2001,"Action, Comedy, Drama, War",N/A,19,N/A
344,The Majestic,2001,"Drama, Romance",3 wins & 1 nomination.,27,N/A
305,The Last Castle,2001,"Action, Drama, Thriller",1 win & 4 nominations.,43,"$17,924,798"
332,Not Another Teen Movie,2001,Comedy,5 nominations.,32,"$37,882,551"
333,Vanilla Sky,2001,"Fantasy, Mystery, Romance, Sci-Fi, Thriller",Nominated for 1 Oscar. Another 5 wins & 33 nominations.,45,N/A
334,Nowhere in Africa,2001,"Biography, Drama",Won 1 Oscar. Another 18 wins & 6 nominations.,72,"$5,888,057"
335,Ali,2001,"Biography, Drama, Sport",Nominated for 2 Oscars. Another 10 wins & 25 nominations.,65,"$58,183,966"
336,A Beautiful Mind,2001,"Biography, Drama",Won 4 Oscars. Another 33 wins & 67 nominations.,72,N/A
337,Winged Migration,2001,Documentary,Nominated for 1 Oscar. Another 5 wins & 14 nominations.,82,N/A
338,Iris,2001,"Biography, Drama, Romance",Won 1 Oscar. Another 13 wins & 31 nominations.,76,"$5,372,026"
339,The Shipping News,2001,Drama,Nominated for 2 Golden Globes. Another 2 wins & 11 nominations.,47,"$11,405,825"
340,The Lord of the Rings: The Fellowship of the Ring,2001,"Adventure, Drama, Fantasy",Won 4 Oscars. Another 113 wins & 123 nominations.,92,"$314,000,000"
341,How High,2001,"Comedy, Fantasy",N/A,29,"$31,155,435"
342,Jimmy Neutron: Boy Genius,2001,"Animation, Action, Adventure, Comedy, Family, Sci-Fi",Nominated for 1 Oscar. Another 5 nominations.,65,"$80,865,848"
343,Joe Somebody,2001,"Comedy, Drama",1 nomination.,42,N/A
