,title,budget,popularity,production_companies,release_date,runtime,revenue,status,vote_average,vote_count,Year
0,Avatar,237000000,150.437577,"[{""name"": ""Ingenious Film Partners"", ""id"": 289}, {""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Dune Entertainment"", ""id"": 444}, {""name"": ""Lightstorm Entertainment"", ""id"": 574}]",2009-12-10,162.0,2787965087,Released,7.2,11800,2009
1,Pirates of the Caribbean: At World's End,300000000,139.082615,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Jerry Bruckheimer Films"", ""id"": 130}, {""name"": ""Second Mate Productions"", ""id"": 19936}]",2007-05-19,169.0,961000000,Released,6.9,4500,2007
2,Spectre,245000000,107.37678799999999,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Danjaq"", ""id"": 10761}, {""name"": ""B24"", ""id"": 69434}]",2015-10-26,148.0,880674609,Released,6.3,4466,2015
3,The Dark Knight Rises,250000000,112.31295,"[{""name"": ""Legendary Pictures"", ""id"": 923}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""DC Entertainment"", ""id"": 9993}, {""name"": ""Syncopy"", ""id"": 9996}]",2012-07-16,165.0,1084939099,Released,7.6,9106,2012
4,John Carter,260000000,43.926995,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}]",2012-03-07,132.0,284139100,Released,6.1,2124,2012
5,Spider-Man 3,258000000,115.69981399999999,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Laura Ziskin Productions"", ""id"": 326}, {""name"": ""Marvel Enterprises"", ""id"": 19551}]",2007-05-01,139.0,890871626,Released,5.9,3576,2007
6,Tangled,260000000,48.681969,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Walt Disney Animation Studios"", ""id"": 6125}]",2010-11-24,100.0,591794936,Released,7.4,3330,2010
7,Avengers: Age of Ultron,280000000,134.27922900000002,"[{""name"": ""Marvel Studios"", ""id"": 420}, {""name"": ""Prime Focus"", ""id"": 15357}, {""name"": ""Revolution Sun Studios"", ""id"": 76043}]",2015-04-22,141.0,1405403694,Released,7.3,6767,2015
8,Harry Potter and the Half-Blood Prince,250000000,98.885637,"[{""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Heyday Films"", ""id"": 7364}]",2009-07-07,153.0,933959197,Released,7.4,5293,2009
9,Batman v Superman: Dawn of Justice,250000000,155.790452,"[{""name"": ""DC Comics"", ""id"": 429}, {""name"": ""Atlas Entertainment"", ""id"": 507}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""DC Entertainment"", ""id"": 9993}, {""name"": ""Cruel & Unusual Films"", ""id"": 9995}, {""name"": ""RatPac-Dune Entertainment"", ""id"": 41624}]",2016-03-23,151.0,873260194,Released,5.7,7004,2016
