,Title,Year,Genre,Awards,Metascore,BoxOffice
0,The Widow of Saint-Pierre,2000,"Drama, History, Romance",Nominated for 1 Golden Globe. Another 3 wins & 8 nominations.,73.0,$0
1,Nurse Betty,2000,"Comedy, Crime, Drama, Romance",Won 1 Golden Globe. Another 4 wins & 14 nominations.,69.0,$0
2,Fiza,2000,"Action, Crime, Drama",4 wins & 18 nominations.,0.0,$0
3,Duets,2000,"Comedy, Drama, Music, Romance",1 nomination.,40.0,"$4,262,782"
4,Brother,2000,"Crime, Drama, Thriller",1 win & 1 nomination.,47.0,$0
5,Sexy Beast,2000,"Crime, Drama, Thriller",Nominated for 1 Oscar. Another 21 wins & 20 nominations.,79.0,"$5,972,627"
6,Men of Honor,2000,"Biography, Drama",11 nominations.,56.0,$0
7,Rugrats in Paris: The Movie,2000,"Animation, Adventure, Comedy, Family, Romance",3 wins & 7 nominations.,62.0,$0
81,Nutty Professor II: The Klumps,2000,"Comedy, Romance, Sci-Fi",2 wins & 12 nominations.,38.0,"$122,385,345"
8,The Way of the Gun,2000,"Action, Crime, Drama, Thriller",none,49.0,"$5,225,573"
10,Urban Legends: Final Cut,2000,"Horror, Mystery, Thriller",1 win & 1 nomination.,16.0,"$21,007,274"
11,The Specials,2000,"Action, Comedy, Fantasy, Sci-Fi",none,38.0,$0
12,Woman on Top,2000,"Comedy, Fantasy, Romance",3 nominations.,41.0,"$4,513,772"
13,The House of Mirth,2000,"Romance, Drama",Nominated for 1 BAFTA Film Award. Another 6 wins & 28 nominations.,78.0,$0
14,Remember the Titans,2000,"Biography, Drama, Sport",8 wins & 17 nominations.,48.0,"$114,297,071"
15,George Washington,2000,Drama,9 wins & 15 nominations.,82.0,$0
16,"Crouching Tiger, Hidden Dragon",2000,"Action, Adventure, Fantasy, Romance",Won 4 Oscars. Another 96 wins & 130 nominations.,93.0,$0
9,Almost Famous,2000,"Adventure, Comedy, Drama, Music",Won 1 Oscar. Another 52 wins & 103 nominations.,90.0,"$31,716,715"
17,Best in Show,2000,Comedy,Nominated for 1 Golden Globe. Another 11 wins & 13 nominations.,78.0,"$16,574,225"
18,The Watcher,2000,"Crime, Horror, Mystery, Thriller",1 nomination.,22.0,"$28,572,915"
19,Dungeons & Dragons,2000,"Action, Adventure, Fantasy",11 nominations.,14.0,"$14,813,627"
22,Hollow Man,2000,"Action, Horror, Sci-Fi, Thriller",Nominated for 1 Oscar. Another 7 wins & 11 nominations.,24.0,"$72,055,301"
23,Psycho Beach Party,2000,"Comedy, Horror, Mystery",3 wins & 1 nomination.,42.0,$0
24,The Replacements,2000,"Comedy, Sport",none,30.0,"$44,004,460"
25,Bless the Child,2000,"Crime, Drama, Horror",1 win & 6 nominations.,17.0,"$28,134,407"
26,Autumn in New York,2000,"Drama, Romance",3 nominations.,24.0,$0
27,The Cell,2000,"Horror, Sci-Fi, Thriller",Nominated for 1 Oscar. Another 6 wins & 23 nominations.,40.0,$0
28,The Original Kings of Comedy,2000,"Comedy, Documentary",3 nominations.,76.0,"$37,680,981"
21,Space Cowboys,2000,"Action, Adventure, Thriller",Nominated for 1 Oscar. Another 4 wins & 7 nominations.,73.0,$0
29,The Crew,2000,"Crime, Comedy",1 win.,37.0,"$12,485,210"
31,Bring It On,2000,"Comedy, Romance, Sport",2 wins & 7 nominations.,52.0,"$67,905,760"
32,"O Brother, Where Art Thou?",2000,"Adventure, Comedy, Crime, Music",Nominated for 2 Oscars. Another 7 wins & 35 nominations.,69.0,"$45,150,731"
33,Nine Queens,2000,"Crime, Drama, Thriller",22 wins & 8 nominations.,80.0,"$1,078,919"
34,Whipped,2000,"Comedy, Romance",1 nomination.,10.0,"$3,780,907"
35,Snatch,2000,"Comedy, Crime",4 wins & 6 nominations.,55.0,"$30,093,107"
